series_id,material,route,unit,model,n_visible_markers,c50_descriptive,slope,rmse_percentage_points,pixel_sensitivity_min,pixel_sensitivity_max,leave_one_marker_out_min,leave_one_marker_out_max,omissions_losing_threshold_bracket,optimization_boundary,author_ic50,author_interval_lower,author_interval_upper,percent_difference_from_author,uncertainty_label,fit_scope,source_pdf
melo_a_oil_isopulegol,"Myrcia lundiana oil, isopulegol chemotype",fumigation,µL treatment/L air,probit,5,141.8344326393671,1.2046399594528412,1.937248394988065,136.18281400966757,149.26795192423518,130.7160744467137,148.79822009185614,0,False,145.1,117.1,181.8,-2.250563308499587,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_oil_isopulegol,"Myrcia lundiana oil, isopulegol chemotype",fumigation,µL treatment/L air,logistic,5,143.01612398756828,2.0026360861047956,2.27797623153851,138.26843884430357,150.75322480305306,130.71579227151778,151.60981557340827,0,False,145.1,117.1,181.8,-1.4361654117379108,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_isopulegol,"Isopulegol, assay stereochemistry unresolved",fumigation,µL treatment/L air,probit,4,154.06982154147917,3.6199537997337004,2.9008913600187487,147.64094226112312,160.71127133029728,148.59325079483273,159.38644067638958,0,False,150.1,136.1,165.8,2.6447845046496887,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_isopulegol,"Isopulegol, assay stereochemistry unresolved",fumigation,µL treatment/L air,logistic,4,154.77507001633646,6.027538401668898,2.511021461487074,147.91834819262155,163.12448266688293,149.881384227614,159.44546258261002,0,False,150.1,136.1,165.8,3.1146369196112245,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_oil_citral,"Myrcia lundiana oil, citral chemotype",fumigation,µL treatment/L air,probit,6,105.15808223004508,1.02429873729312,1.8844319339405957,101.52374506094684,108.4964952061779,100.51817411619129,106.60937831240867,1,False,104.8,81.9,143.1,0.34168151721858386,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_oil_citral,"Myrcia lundiana oil, citral chemotype",fumigation,µL treatment/L air,logistic,6,105.35752739232434,1.6784439024919817,1.797254158422314,101.48670226615532,109.73190476004986,100.90746072530284,106.90247883227737,1,False,104.8,81.9,143.1,0.5319917865690416,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_citral,"Citral, assay isomer composition unspecified",fumigation,µL treatment/L air,probit,4,32.43942093012483,5.309781351091772,2.1452132784310023,31.190028691680574,33.73857293284243,29.396086890050316,33.81296462559056,0,False,31.7,29.1,34.4,2.3325581391950623,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_a_citral,"Citral, assay isomer composition unspecified",fumigation,µL treatment/L air,logistic,4,32.229900867606716,9.0354808390614,1.445958534311089,31.18718971302215,33.71739037951988,29.781357753254074,33.174164195214786,0,False,31.7,29.1,34.4,1.6716115697372746,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_b_oil_isopulegol,"Myrcia lundiana oil, isopulegol chemotype",contact,µL treatment/L culture medium,probit,4,240.728506957963,0.8978857336707934,2.529783186123832,231.9311487803081,251.98649159908032,221.69214097264285,258.4040639743744,1,False,238.1,160.4,332.4,1.1039508433275946,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_b_oil_isopulegol,"Myrcia lundiana oil, isopulegol chemotype",contact,µL treatment/L culture medium,logistic,4,243.32706532454023,1.4615257197794864,2.593676246111764,234.50412919221128,255.91801437032913,222.68981296493556,260.61203048385636,1,False,238.1,160.4,332.4,2.1953235298363127,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
melo_b_isopulegol,"Isopulegol, assay stereochemistry unresolved",contact,µL treatment/L culture medium,probit,4,695.3604376528007,4.540375274805189,4.731677734295197,673.0247095119664,722.4709933616172,659.7096289912846,701.3896780175478,1,False,696.8,636.0,747.6,-0.2065962036738367,pixel perturbation range and omission sensitivity; not biological confidence intervals,fixed 0 and 100% asymptotes; unweighted least squares on plotted dose-level responses,../../sources/melo2020.pdf#page=8
