plan_id,plate_id,fungus_id,independent_run,isolate_id,well,candidate_id,dose_slot,dose_value,dose_unit,role,technical_replicate,layout_status
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D2,F003,D1,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D8,F003,D1,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E2,F003,D1,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B1,F003,D1,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C10,F003,D1,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E8,F003,D1,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D5,F003,D2,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A3,F003,D2,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F1,F003,D2,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B10,F003,D2,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,G2,F003,D2,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F11,F003,D2,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F10,F003,D3,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F2,F003,D3,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D3,F003,D3,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A8,F003,D3,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H9,F003,D3,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B2,F003,D3,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C8,F003,D4,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A9,F003,D4,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A7,F003,D4,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C2,F003,D4,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H1,F003,D4,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,G1,F003,D4,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E5,F008,D1,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E3,F008,D1,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,G8,F008,D1,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E11,F008,D1,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,G10,F008,D1,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C4,F008,D1,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,G3,F008,D2,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F5,F008,D2,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C5,F008,D2,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F4,F008,D2,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,G11,F008,D2,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F12,F008,D2,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A4,F008,D3,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B11,F008,D3,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A2,F008,D3,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H7,F008,D3,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E10,F008,D3,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E4,F008,D3,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H4,F008,D4,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D12,F008,D4,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A6,F008,D4,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H10,F008,D4,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F3,F008,D4,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C6,F008,D4,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H12,F010,D1,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H3,F010,D1,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E1,F010,D1,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D9,F010,D1,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C12,F010,D1,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F7,F010,D1,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C11,F010,D2,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H5,F010,D2,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E6,F010,D2,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B4,F010,D2,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D4,F010,D2,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A10,F010,D2,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B6,F010,D3,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D10,F010,D3,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E12,F010,D3,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H8,F010,D3,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A5,F010,D3,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H11,F010,D3,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,A12,F010,D4,,,treatment,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D11,F010,D4,,,treatment,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F9,F010,D4,,,treatment,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,C9,F010,D4,,,material_only_blank,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,B5,F010,D4,,,material_only_blank,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H6,F010,D4,,,material_only_blank,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,E9,,,,,vehicle_growth,1,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,H2,,,,,vehicle_growth,2,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,D7,,,,,vehicle_growth,3,illustrative_not_lab_approved
fungal-67f41e49c7ce,attine_cultivar-run1-plate1,attine_cultivar,1,,F6,,,,,medium_blank,1,illustrative_not_lab_approved
